rec L=30 L=40 L=50 L=60 L=80 L=100 L2=30 L3=30
0.1005 0.8726 0.8718 0.8720 0.8700 0.8766 0.8727 0.8726 0.8740
0.1025 0.8687 0.8678 0.8686 0.8707 0.8659 0.8699 0.8679 0.8716
0.1045 0.8654 0.8645 0.8659 0.8672 0.8624 0.8659 0.8642 0.8667
0.1065 0.8617 0.8610 0.8619 0.8664 0.8635 0.8624 0.8631 0.8631
0.1085 0.8585 0.8576 0.8579 0.8642 0.8608 0.8591 0.8584 0.8586
0.1105 0.8541 0.8545 0.8550 0.8644 0.8594 0.8545 0.8631 0.8588
0.1125 0.8510 0.8509 0.8516 0.8513 0.8465 0.8508 0.8535 0.8552
0.1145 0.8468 0.8474 0.8477 0.8469 0.8493 0.8468 0.8506 0.8493
0.1165 0.8436 0.8435 0.8441 0.8500 0.8425 0.8432 0.8369 0.8393
0.1185 0.8390 0.8399 0.8403 0.8341 0.8425 0.8385 0.8443 0.8386
0.1205 0.8340 0.8343 0.8355 0.8374 0.8343 0.8348 0.8362 0.8357
0.1225 0.8292 0.8293 0.8311 0.8283 0.8230 0.8308 0.8224 0.8261
0.1245 0.8245 0.8245 0.8265 0.8270 0.8297 0.8266 0.8293 0.8259
0.1265 0.8190 0.8193 0.8223 0.8130 0.8217 0.8229 0.8196 0.8201
0.1285 0.8130 0.8142 0.8177 0.8179 0.8103 0.8188 0.8146 0.8198
0.1305 0.8072 0.8098 0.8128 0.8076 0.8133 0.8137 0.8139 0.8133
0.1325 0.8019 0.8039 0.8079 0.8088 0.8056 0.8088 0.8123 0.8113
0.1345 0.7964 0.8007 0.8031 0.7998 0.8002 0.8038 0.8067 0.8066
0.1365 0.7904 0.7948 0.7983 0.7988 0.7990 0.7977 0.7962 0.7953
0.1385 0.7838 0.7898 0.7925 0.7958 0.7909 0.7930 0.7982 0.7949
0.1405 0.7776 0.7838 0.7872 0.7881 0.7854 0.7883 0.7896 0.7857
0.1425 0.7716 0.7780 0.7812 0.7725 0.7789 0.7825 0.7767 0.7758
0.1445 0.7635 0.7711 0.7737 0.7679 0.7724 0.7764 0.7737 0.7764
0.1465 0.7559 0.7628 0.7655 0.7721 0.7662 0.7689 0.7569 0.7616
0.1485 0.7476 0.7565 0.7589 0.7495 0.7588 0.7627 0.7600 0.7610
0.1505 0.7386 0.7482 0.7520 0.7526 0.7498 0.7548 0.7516 0.7511
0.1525 0.7311 0.7397 0.7435 0.7423 0.7404 0.7439 0.7365 0.7392
0.1545 0.7209 0.7279 0.7344 0.7407 0.7322 0.7343 0.7322 0.7302
0.1565 0.7117 0.7184 0.7249 0.7245 0.7277 0.7238 0.7300 0.7306
0.1585 0.7016 0.7078 0.7145 0.7141 0.7124 0.7124 0.7195 0.7185
0.1605 0.6896 0.6954 0.7014 0.7073 0.7107 0.6998 0.7018 0.7050
0.1625 0.6777 0.6828 0.6901 0.6915 0.6882 0.6854 0.6901 0.6874
0.1645 0.6647 0.6678 0.6758 0.6658 0.6728 0.6734 0.6785 0.6779
0.1665 0.6523 0.6534 0.6599 0.6507 0.6586 0.6592 0.6560 0.6594
0.1685 0.6357 0.6366 0.6423 0.6323 0.6326 0.6400 0.6452 0.6470
0.1705 0.6172 0.6136 0.6204 0.6166 0.6065 0.6160 0.6238 0.6193
0.1725 0.5976 0.5928 0.5955 0.5970 0.5717 0.5823 0.6069 0.6077
0.1745 0.5783 0.5669 0.5650 0.5644 0.5501 0.5435 0.5786 0.5870
0.1765 0.5535 0.5412 0.5328 0.5227 0.5012 0.4938 0.5689 0.5651
